age,job,marital,education,default,balance,day,month,duration,campaign,pdays,previous,poutcome,y,housing,loan
58,management,married,tertiary,no,2143,5,may,261,1,-1,0,unknown,no,yes,no
44,technician,single,secondary,no,29,5,may,151,1,-1,0,unknown,no,yes,no
33,entrepreneur,married,secondary,no,2,5,may,76,1,-1,0,unknown,no,yes,yes
47,blue-collar,married,unknown,no,1506,5,may,92,1,-1,0,unknown,no,yes,no
33,unknown,single,unknown,no,1,5,may,198,1,-1,0,unknown,no,no,no
35,management,married,tertiary,no,231,5,may,139,1,-1,0,unknown,no,yes,no
28,management,single,tertiary,no,447,5,may,217,1,-1,0,unknown,no,yes,yes
42,entrepreneur,divorced,tertiary,yes,2,5,may,380,1,-1,0,unknown,no,yes,no
58,retired,married,primary,no,121,5,may,50,1,-1,0,unknown,no,yes,no
43,technician,single,secondary,no,593,5,may,55,1,-1,0,unknown,no,yes,no
41,admin.,divorced,secondary,no,270,5,may,222,1,-1,0,unknown,no,yes,no
29,admin.,single,secondary,no,390,5,may,137,1,-1,0,unknown,no,yes,no
53,technician,married,secondary,no,6,5,may,517,1,-1,0,unknown,no,yes,no
58,technician,married,unknown,no,71,5,may,71,1,-1,0,unknown,no,yes,no
57,services,married,secondary,no,162,5,may,174,1,-1,0,unknown,no,yes,no
51,retired,married,primary,no,229,5,may,353,1,-1,0,unknown,no,yes,no
45,admin.,single,unknown,no,13,5,may,98,1,-1,0,unknown,no,yes,no
57,blue-collar,married,primary,no,52,5,may,38,1,-1,0,unknown,no,yes,no
60,retired,married,primary,no,60,5,may,219,1,-1,0,unknown,no,yes,no
33,services,married,secondary,no,0,5,may,54,1,-1,0,unknown,no,yes,no
28,blue-collar,married,secondary,no,723,5,may,262,1,-1,0,unknown,no,yes,yes
56,management,married,tertiary,no,779,5,may,164,1,-1,0,unknown,no,yes,no
32,blue-collar,single,primary,no,23,5,may,160,1,-1,0,unknown,no,yes,yes
25,services,married,secondary,no,50,5,may,342,1,-1,0,unknown,no,yes,no
40,retired,married,primary,no,0,5,may,181,1,-1,0,unknown,no,yes,yes
44,admin.,married,secondary,no,-372,5,may,172,1,-1,0,unknown,no,yes,no
39,management,single,tertiary,no,255,5,may,296,1,-1,0,unknown,no,yes,no
52,entrepreneur,married,secondary,no,113,5,may,127,1,-1,0,unknown,no,yes,yes
46,management,single,secondary,no,-246,5,may,255,2,-1,0,unknown,no,yes,no
36,technician,single,secondary,no,265,5,may,348,1,-1,0,unknown,no,yes,yes
57,technician,married,secondary,no,839,5,may,225,1,-1,0,unknown,no,no,yes
49,management,married,tertiary,no,378,5,may,230,1,-1,0,unknown,no,yes,no
60,admin.,married,secondary,no,39,5,may,208,1,-1,0,unknown,no,yes,yes
59,blue-collar,married,secondary,no,0,5,may,226,1,-1,0,unknown,no,yes,no
51,management,married,tertiary,no,10635,5,may,336,1,-1,0,unknown,no,yes,no
57,technician,divorced,secondary,no,63,5,may,242,1,-1,0,unknown,no,yes,no
25,blue-collar,married,secondary,no,-7,5,may,365,1,-1,0,unknown,no,yes,no
53,technician,married,secondary,no,-3,5,may,1666,1,-1,0,unknown,no,no,no
36,admin.,divorced,secondary,no,506,5,may,577,1,-1,0,unknown,no,yes,no
37,admin.,single,secondary,no,0,5,may,137,1,-1,0,unknown,no,yes,no
44,services,divorced,secondary,no,2586,5,may,160,1,-1,0,unknown,no,yes,no
50,management,married,secondary,no,49,5,may,180,2,-1,0,unknown,no,yes,no
60,blue-collar,married,unknown,no,104,5,may,22,1,-1,0,unknown,no,yes,no
54,retired,married,secondary,no,529,5,may,1492,1,-1,0,unknown,no,yes,no
58,retired,married,unknown,no,96,5,may,616,1,-1,0,unknown,no,yes,no
36,admin.,single,primary,no,-171,5,may,242,1,-1,0,unknown,no,yes,no
58,self-employed,married,tertiary,no,-364,5,may,355,1,-1,0,unknown,no,yes,no
44,technician,married,secondary,no,0,5,may,225,2,-1,0,unknown,no,yes,no
55,technician,divorced,secondary,no,0,5,may,160,1,-1,0,unknown,no,no,no
29,management,single,tertiary,no,0,5,may,363,1,-1,0,unknown,no,yes,no
54,blue-collar,married,secondary,no,1291,5,may,266,1,-1,0,unknown,no,yes,no
48,management,divorced,tertiary,no,-244,5,may,253,1,-1,0,unknown,no,yes,no
32,management,married,tertiary,no,0,5,may,179,1,-1,0,unknown,no,yes,no
42,admin.,single,secondary,no,-76,5,may,787,1,-1,0,unknown,no,yes,no
24,technician,single,secondary,no,-103,5,may,145,1,-1,0,unknown,no,yes,yes
38,entrepreneur,single,tertiary,no,243,5,may,174,1,-1,0,unknown,no,no,yes
38,management,single,tertiary,no,424,5,may,104,1,-1,0,unknown,no,yes,no
47,blue-collar,married,unknown,no,306,5,may,13,1,-1,0,unknown,no,yes,no
40,blue-collar,single,unknown,no,24,5,may,185,1,-1,0,unknown,no,yes,no
46,services,married,primary,no,179,5,may,1778,1,-1,0,unknown,no,yes,no
32,admin.,married,tertiary,no,0,5,may,138,1,-1,0,unknown,no,yes,no
53,technician,divorced,secondary,no,989,5,may,812,1,-1,0,unknown,no,yes,no
57,blue-collar,married,primary,no,249,5,may,164,1,-1,0,unknown,no,yes,no
33,services,married,secondary,no,790,5,may,391,1,-1,0,unknown,no,yes,no
49,blue-collar,married,unknown,no,154,5,may,357,1,-1,0,unknown,no,yes,no
51,management,married,tertiary,no,6530,5,may,91,1,-1,0,unknown,no,yes,no
60,retired,married,tertiary,no,100,5,may,528,1,-1,0,unknown,no,no,no
59,management,divorced,tertiary,no,59,5,may,273,1,-1,0,unknown,no,yes,no
55,technician,married,secondary,no,1205,5,may,158,2,-1,0,unknown,no,yes,no
35,blue-collar,single,secondary,no,12223,5,may,177,1,-1,0,unknown,no,yes,yes
57,blue-collar,married,secondary,no,5935,5,may,258,1,-1,0,unknown,no,yes,yes
31,services,married,secondary,no,25,5,may,172,1,-1,0,unknown,no,yes,yes
54,management,married,secondary,no,282,5,may,154,1,-1,0,unknown,no,yes,yes
55,blue-collar,married,primary,no,23,5,may,291,1,-1,0,unknown,no,yes,no
43,technician,married,secondary,no,1937,5,may,181,1,-1,0,unknown,no,yes,no
53,technician,married,secondary,no,384,5,may,176,1,-1,0,unknown,no,yes,no
44,blue-collar,married,secondary,no,582,5,may,211,1,-1,0,unknown,no,no,yes
